Content,Title,categories,Age,inf
"<p>From Dalí’s eerie streetscape to the fearful little crewmates in Among Us, our critics recommend culture for the irrationally threatened</p><p>The world may be celebrating <a href=""https://www.theguardian.com/film/2022/mar/04/this-thing-of-ours-why-does-the-godfather-still-ring-true-50-years-on"" title="""">the 50th anniversary of The Godfather</a> right now, but for paranoia aficionados, the biggest Francis Ford Coppola semi-centennial is still two years off. <a href=""https://www.theguardian.com/film/filmblog/2015/apr/22/my-favourite-cannes-winner-the-conversation"" title="""">The Conversation</a> came between the first two instalments of his operatic mafia trilogy but is stunningly different in mood. Starring an extraordinary Gene Hackman as a surveillance expert who fixates on a fragment of dialogue he has recorded, it culminates in Hackman tearing up his apartment as if he’s tearing at his own skin, all because of the tectonic shift in meaning that can come from a minute change of inflection. A lonely, desperate, guilt-ridden masterpiece. <em>Jessica Kiang</em></p> <a href=""https://www.theguardian.com/culture/2022/apr/11/cultural-prescription-film-music-games-and-art-for-the-paranoid"">Continue reading...</a>","High anxiety: film, music, games and art for the paranoid",ENTERTAINMENT & FUN,2970,86.5
"<p><strong>Cloisters Interactive; Annapurna Interactive; Nintendo Switch, PC, PlayStation 4/5, Xbox One/Series S/Series X</strong><br>A dreamlike ‘interactive poem’ explores the emotional dynamics driving an Olympic swimmer</p><p><em><a href=""https://annapurnainteractive.com/games/a-memoir-blue"">A Memoir Blue</a></em> opens at a press conference, a thatch of interviewers’ microphones aimed at the protagonist as she flinches in a lightning storm of camera flashes. In her right hand she holds aloft a swimmer’s Olympic medal. This young woman has reached the pinnacle of her athletic career. Yet despite this she appears detached, even glum, here in the hot centre of the world’s adulation. Back at her apartment we see her mantelpiece sag under the combined weight of her trophies, but as dusk fills her room, she sits alone on her sofa, bereft.</p><p>Wealth, glory and high attainment, in almost any field, are often accompanied by less desirable effects: isolation, confusion, loneliness, an obsessive anxiety about losing, or failing to maintain that which has been won. These negatives are rarely acknowledged by the successful: to complain after one has gained what everyone else desires can seem ungrateful and churlish. <em>A Memoir Blue</em> is a dialogue-free attempt to explore why success so often contains the seeds of failure, and specifically the emotional dynamics that might lead someone to channel the wild energies of childhood into the unusual demands of professional sports.</p> <a href=""https://www.theguardian.com/games/2022/apr/09/a-memoir-blue-game-review-olympic-swimmer-annapurna"">Continue reading...</a>",A Memoir Blue review – a deep dive into the price of success,WELLNESS & HEALTHY LIVING,5670,86.5
"<p>The Artful Escape is among the indie games to beat big-budget rivals on a night that recognised a tough period for the industry</p><p>The Bafta games awards took place at Queen Elizabeth Hall in London on Thursday night, honouring 2021’s creative achievements in video gaming. It was the first time the ceremony had been held in person since the pandemic and brought together the international video games industry to celebrate a range of titles – some with multimillion-dollar budgets, others made by teams of fewer than 10.</p><p>The biggest winner of the night was the PlayStation 5 sci-fi shooter <a href=""https://www.theguardian.com/games/2021/may/12/returnal-review-epic-dance-of-death-with-beautiful-brutal-aliens"">Returnal</a>, which won accolades for audio achievement and music alongside the prestigious best game award. The lead actor in the game, Jane Perry, also won the award for performer in a leading role for her portrayal of steely space scout Selene. Performer in a supporting role was won by Kimberly Brooks, who played Hollis Forsythe in the psychedelic action game <a href=""https://www.theguardian.com/games/2021/aug/25/psychonauts-2-review-surreal-adventure"">Psychonauts 2</a>.</p> <a href=""https://www.theguardian.com/games/2022/apr/08/bafta-games-awards-2022-returnal-unpacking"">Continue reading...</a>",Bafta games awards 2022: Returnal and Unpacking win big,ENTERTAINMENT & FUN,6898,86.5
"<p>Prosecutors portray  ex-executive as accomplice in a health scam while defense paints picture of well-meaning businessman</p><p>The specter of Elizabeth Holmes loomed over the opening day of a trial that will determine whether Ramesh “Sunny” Balwani, her former romantic and business partner at Theranos, was also her partner in crime.</p><p>Tuesday marked the opening of a case slated to begin last week, which was <a href=""https://www.theguardian.com/technology/2022/mar/16/theranos-trial-sunny-balwani-elizabeth-holmes"">delayed by a Covid-19 exposure</a>.</p> <a href=""https://www.theguardian.com/technology/2022/mar/22/sunny-balwani-trial-theranos-elizabeth-holmes"">Continue reading...</a>",Elizabeth Holmes looms large on first day of Sunny Balwani’s Theranos trial,BUSINESS & MONEY,30918,36.5
"<p>Tech companies took swift action to back Ukraine, a watershed moment for an industry with control over information</p><p>Less than a day after Russia launched an invasion of Ukraine, the head of security at Meta (formerly Facebook) <a href=""https://twitter.com/ngleicher/status/1497417241947607043"">announced</a> the company would no longer accept ad money from Russian state media outlets like Russia Today and Sputnik. Twitter <a href=""https://twitter.com/TwitterSafety/status/1497353976588689411?s=20&amp;t=_iI8OBnRZnuQAfrw7nDgpQ"">said</a> it would pause all ads from both Russia and Ukraine. And<strong> </strong>the next day, 26 February, YouTube quietly <a href=""https://twitter.com/YouTubeInsider/status/1497685470318403590?s=20&amp;t=Ovasu9Nddn7emcwAS0uQ1A"">shared</a> that it had begun blocking a handful of Kremlin-run media outlets from monetizing and running ads on their channels too.</p><p>It was the start of a cascade of corporate denials of service: one after the other, prominent social media and tech companies intensified restrictions on Russian state media’s presence on their platforms. Even major internet infrastructure firms, such as the domain registrar <a href=""https://www.vice.com/en/article/4awb8w/namecheap-tells-russian-customers-to-find-another-registrar-due-to-russias-war-crimes"">Namecheap</a> and the internet services provider <a href=""https://www.washingtonpost.com/technology/2022/03/04/russia-ukraine-internet-cogent-cutoff/"">Cogent</a>, told their Russian customers to take their business elsewhere.</p> <a href=""https://www.theguardian.com/media/2022/mar/11/social-media-facebook-google-russia-ukraine"">Continue reading...</a>",How Silicon Valley’s Russia crackdown proves its power – and its threat,SCIENCE & TECH,46350,56.5
"<p>Facebook parent company tells workers they will no longer receive free valet service and meals will be delayed</p><p>Lavish onsite perks may be a thing of the past for employees at Meta, who will now have to do their own laundry due to company cutbacks.</p><p>The parent company of Facebook informed its employees it would be cutting down on various perks including free laundry, dry cleaning and valet service, as well as delaying the daily free dinner by half an hour from 6pm to 6.30pm, the New York Times first <a href=""https://www.nytimes.com/2022/03/11/technology/facebook-meta-perks.html?partner=slack&amp;smid=sl-share"">reported</a>.</p> <a href=""https://www.theguardian.com/technology/2022/mar/11/meta-employees-perks-cut-free-laundry"">Continue reading...</a>",Meta employees left to do their own laundry as perks get cut,BUSINESS & MONEY,46514,36.5
"<p>Businessman who served as Theranos’s co-president accused of wire fraud and conspiracy to defraud investors</p><p>Two months after <a href=""https://www.theguardian.com/technology/2022/jan/03/elizabeth-holmes-trial-jury-finds-theranos-founder-guilty-on-four-counts"">Elizabeth Holmes was found guilty</a> of defrauding Theranos investors, her former business and romantic partner, Ramesh “Sunny” Balwani, began his own trial on Wednesday.</p><p>The trial of Balwani, who served as the blood testing startup’s co-president, shares several parallels with Holmes’s. The businessman is accused of similar crimes, including wire fraud and conspiracy to defraud investors, and will appear in the same San Jose, California, courthouse where Holmes spent more than 12 weeks defending herself.</p> <a href=""https://www.theguardian.com/technology/2022/mar/09/theranos-sunny-balwani-trial-begins-elizabeth-holmes"">Continue reading...</a>",Sunny Balwani trial starts two months after Elizabeth Holmes’s guilty verdict,BUSINESS & MONEY,49592,36.5
"<p>Novel, thin and light machine bucks trend by being simple to take apart, with good performance and looks</p><p>The Framework Laptop is a modular, repairable and upgradeable notebook PC that aims to spark change in the world of computers and prove things can look good, work well and still be fixable at home.</p><p>Launched by US firm Framework Computer, this new laptop has a similar feel to the <a href=""https://www.theguardian.com/technology/2021/oct/15/fairphone-4-review-ethical-repairable-phone-gets-big-upgrade"">excellent Fairphone</a>, providing customisation options and the ability to upgrade parts rather than having to replace the entire device. It even ships with the only screwdriver you will need to <a href=""https://guides.frame.work/Guide/Checking+out+the+inside+of+a+Framework+Laptop/101?lang=en"">take it apart</a>.</p> <a href=""https://www.theguardian.com/technology/2022/apr/13/framework-laptop-review-a-modular-pc-easy-to-fix-or-upgrade"">Continue reading...</a>",Framework Laptop review: a modular PC easy to fix or upgrade,SCIENCE & TECH,269,56.5
"<p>New top sports watch line gets slick OLED screen upgrade, but shorter battery life as a result</p><p>Garmin’s latest luxury sports watch is a departure for the firm, which has swapped its usual low-power LCD for a fancy OLED screen, sacrificing battery life in the process. It better competes with the Apple Watch and its ilk, but are the trade-offs really worth it for an adventure-tracking smartwatch?</p><p>The Epix (gen 2) is a new line of expensive all-singing, all-dancing watches from Garmin costing from £799.99 ($899.99/A$1,399). They are <a href=""https://www.theguardian.com/technology/2022/feb/07/garmin-fenix-7-review-next-gen-boss-of-adventure-smartwatches-battery-gps"">built on the company’s Fenix 7</a> – the benchmark for these types of smartwatches – sharing its design, sensors, software and comprehensive navigation, sport and activity-tracking features.</p><p><strong>Screen:</strong> 1.3in AMOLED (416x416 pixels)</p><p><strong>Case size:</strong> 47mm</p><p><strong>Case thickness:</strong> 14.5mm</p><p><strong>Band size:</strong> standard 22mm quick release</p><p><strong>Weight:</strong> 47 or 53g body only</p><p><strong>Storage:</strong> 16 or 32GB</p><p><strong>Water resistance:</strong> 100 metres (10ATM)</p><p><strong>Sensors:</strong> GNSS (GPS, Glonass, Galileo, BeiDuo, QZSS), compass, thermometer, HR, pulse Ox</p><p><strong>Connectivity:</strong> Bluetooth, ANT+, wifi</p> <a href=""https://www.theguardian.com/technology/2022/apr/04/garmin-epix-review-the-ultimate-adventure-smartwatch"">Continue reading...</a>",Garmin Epix review: the ultimate adventure smartwatch?,STYLE & BEAUTY,13229,2.5
"<p>Part laptop, part drawing tablet, part workstation, there’s nothing quite like this Windows 11 machine</p><p>The Surface Laptop Studio is Microsoft’s creative workstation that replaces the <a href=""https://www.theguardian.com/technology/2020/jul/28/microsoft-surface-book-3-review-faster-chips-same-unique-design"">unique outgoing Surface Book line</a> with a slightly more normal laptop-like form but is still very unusual.</p><p>The new top of Microsoft’s laptop line costs from £1,449 ($1,399.99/A$2,399) and is a chunky machine geared up as a desktop replacement, rather than a thin and light notebook you carry everywhere.</p> <a href=""https://www.theguardian.com/technology/2022/mar/29/surface-laptop-studio-review-microsofts-top-new-quirky-portable-pc"">Continue reading...</a>",Surface Laptop Studio review: Microsoft’s top new quirky portable PC,SCIENCE & TECH,21870,56.5
"<p>Great performance and battery life, held back by cost, camera and lack of software polish</p><p>The latest high-end smartphone from China’s Oppo aims to usurp Samsung as the best Android phone launched in 2022 with serious speed and a luxurious ceramic back that’s almost too smooth.</p><p>The Find X5 Pro costs £1,049 and won’t be sold in the US. It replaces last year’s <a href=""https://www.theguardian.com/technology/2021/mar/12/oppo-find-x3-pro-review-chinese-smartphone-champ-cant-beat-samsung"">Find X3 Pro</a> (there was no X4) and is packed with all the things you expect from a top-flight phone.</p><p><strong>Screen:</strong> 6.7in 120Hz QHD+ OLED (525ppi)</p><p><strong>Processor:</strong> Qualcomm Snapdragon 8 Gen 1</p><p><strong>RAM:</strong> 12GB of RAM</p><p><strong>Storage:</strong> 256GB</p><p><strong>Operating system:</strong> ColorOS 12.1 (Android 12)</p><p><strong>Camera:</strong> 50MP main and ultrawide + 13MP 2x telephoto, 32MP selfie</p><p><strong>Connectivity:</strong> 5G, eSIM, wifi 6, NFC, Bluetooth 5.2 and GNSS</p><p><strong>Water resistance:</strong> IP68 (1.5m for 30 minutes)</p><p><strong>Dimensions:</strong> 163.7 x 73.9 x 8.5mm</p><p><strong>Weight:</strong> 218g</p> <a href=""https://www.theguardian.com/technology/2022/mar/28/oppo-find-x5-pro-review-slick-android-let-down-by-weak-camera-zoom"">Continue reading...</a>",Oppo Find X5 Pro review: slick Android let down by weak camera zoom,SCIENCE & TECH,23309,56.5
"<p>Top performance, 5G, good camera and long software support ensure cheapest iPhone is worth buying</p><p>Apple’s cut-price iPhone is back and has been upgraded for 2022, with a faster chip and 5G making it an even better bargain than before.</p><p>The third-generation iPhone SE costs £419 ($429/A$719) and is the cheapest smartphone Apple sells, priced to compete with myriad mid-range Android devices.</p> <a href=""https://www.theguardian.com/technology/2022/mar/21/apple-iphone-se-2022-review-dated-design-but-bargain-price-camera"">Continue reading...</a>",Apple iPhone SE 2022 review: dated design but bargain price,SCIENCE & TECH,33330,56.5
"<p>Stunning 10.9in tablet gets Apple’s top chip, long battery life and best-in-class smart video call camera</p><p>Apple’s latest tablet is an iPad Air upgraded with the M1 chip from the newest Macs and iPad Pro – turning it into a compact powerhouse that’s just as happy manipulating images in Photoshop as it is binge-watching the latest series of <a href=""https://www.theguardian.com/tv-and-radio/ng-interactive/2022/mar/01/whats-on-netflix-and-amazon-this-month-march#picard"">Star Trek: Picard</a>.</p><p>This new fifth-generation model is £10 cheaper than the outgoing model, costing £569 ($599/A$929). While certainly premium-priced, it undercuts Apple’s other M1-equipped 11in tablet, the iPad Pro, by £180.</p> <a href=""https://www.theguardian.com/technology/2022/mar/16/ipad-air-review-cheaper-ipad-pro-m1-power-upgrade-battery-camera-video"">Continue reading...</a>",iPad Air review: cheaper iPad Pro for the rest of us gets M1 power upgrade,SCIENCE & TECH,40170,56.5
"<p>Feature-packed phablet has stylus, long battery life and unrivalled camera zoom, now made of recycled materials</p><p>With the Galaxy S22 Ultra superphone, Samsung has brought back its popular Note line in all but name, equipping it with a built-in stylus and the competition-beating camera with both 3x and 10x optical zoom from last year’s S21 Ultra.</p><p>Costing £1,149 ($1,200/A$1,849) it is one of the most expensive non-folding phones you can buy but it offers features you simply can’t get on other phones and will receive at least five years of software updates – longer than any other Android.</p><p><strong>Main screen:</strong> 6.8in QHD+ Dynamic Amoled 2X (500ppi) 120Hz</p><p><strong>Processor:</strong> Samsung Exynos 2200 (EU) or Qualcomm Snapdragon 8 Gen 1 (US)</p><p><strong>RAM:</strong> 8 or 12GB of RAM</p><p><strong>Storage:</strong> 128, 256, 512GB or 1TB</p><p><strong>Operating system:</strong> One UI 4.1 based on Android 12</p><p><strong>Camera:</strong> Quad rear camera: 108MP wide, 12MP ultra-wide, 10MP 3x and 10x telephoto; 40MP front-facing</p><p><strong>Connectivity:</strong> 5G, USB-C, wifi 6E, NFC, Bluetooth 5.2, UWB and GNSS</p><p><strong>Water resistance:</strong> IP68 (1.5m for 30 mins)</p><p><strong>Dimensions:</strong> 163.3 x 77.9 x 8.9mm</p><p><strong>Weight:</strong> 228g</p> <a href=""https://www.theguardian.com/technology/2022/mar/14/samsung-galaxy-s22-ultra-review"">Continue reading...</a>",Samsung Galaxy S22 Ultra review: triumphant return of the Note superphone,SCIENCE & TECH,43410,56.5
"<p>Elizabeth Williamson’s book on the 2012 elementary school shooting is a near-unbearable, necessary indictment of Facebook, YouTube and the conspiracy theories they spread</p><p>Even in a country now completely inured to the horrors of mass shootings, the massacre at Sandy Hook remains lodged in the minds of everyone old enough to remember it. Ten years ago, 20-year-old Adam Lanza fired 154 rounds from an AR-15-style rifle in less than five minutes. Twenty extremely young children and six adults were killed.</p><p>It was the worst elementary school shooting in American history.</p> <a href=""https://www.theguardian.com/books/2022/mar/13/sandy-hook-review-an-american-tragedy-elizabeth-williamson-facebook-youtube-alex-jones"">Continue reading...</a>",Sandy Hook review: anatomy of an American tragedy – and the obscenity of social media,ENTERTAINMENT & FUN,44850,86.5
"<p>As well as turning off your hot water or boiler as you leave home, some can offer to heat only rooms that need it</p><ul><li><strong><a href=""https://www.theguardian.com/money/2022/mar/26/energy-bills-rise-living-gas-electricity"">How to beat the biggest price rise in living memory</a></strong></li><li><strong><a href=""https://www.theguardian.com/money/2022/mar/25/energy-bills-read-meter-31-march-prices-rise"">Read your meter on 31 March before prices rise</a></strong></li></ul><p>With the return to the office in full swing and fuel prices rocketing, smart thermostats offer one relatively easy way to help reduce your energy use without big changes to your central heating system.</p><p>These are direct replacements for traditional timers and thermostats that give your boiler a hi-tech upgrade without cancelling out any of its features.</p> <a href=""https://www.theguardian.com/money/2022/mar/30/how-smart-thermostats-can-save-you-fuel-and-money"">Continue reading...</a>",How smart thermostats can save you fuel and money,WELLNESS & HEALTHY LIVING,20430,86.5
"<p>AI algorithms prompt robot to interrogate, select, and decision-make to create a painting </p><p>Brush clamped firmly in bionic hand, Ai-Da’s robotic arm moves slowly, dipping in to a paint palette then making slow, deliberate strokes across the paper in front of her.</p><p>This, according to Aidan Meller, the creator of the world’s first ultra-realistic humanoid robot, Ai-Da, is “mind-blowing” and “groundbreaking” stuff.</p> <a href=""https://www.theguardian.com/technology/2022/apr/04/mind-blowing-ai-da-becomes-first-robot-to-paint-like-an-artist"">Continue reading...</a>",‘Mind-blowing’: Ai-Da becomes first robot to paint like an artist,ARTS & CULTURE,12535,17.0
"<p>Run out of cyan? Help could be at hand as the takeaway delivery company teams up with WH Smith to get your home printer working again</p><p><strong>Pass notes: </strong>Printer ink.</p><p><strong>Age</strong>: Ink has been around for yonks, since early folks started using soot to draw pictures on the walls of their caves. The history of ink can be traced through ancient Egypt, China, fountain pens, the birth of printing …</p> <a href=""https://www.theguardian.com/technology/2022/mar/29/a-printer-cartridge-and-chips-please-why-deliveroo-will-now-bring-you-ink-as-well-as-your-favourite-food"">Continue reading...</a>",A printer cartridge and chips please: why Deliveroo will now bring you ink as well as your favourite food,WELLNESS & HEALTHY LIVING,21419,86.5
"<p>The technology behind autonomous vehicles has proved devilishly hard to perfect. And progress hasn’t been helped by Tesla boss Elon Musk’s army of superfans</p><p>“I would be shocked if we do not achieve full self-driving safer than a human this year,” said Tesla chief executive, Elon Musk, <a href=""https://www.fool.com/earnings/call-transcripts/2022/01/27/tesla-tsla-q4-2021-earnings-call-transcript/"">in January.</a> For anyone who follows Musk’s commentary, this might sound familiar. In 2020, he promised autonomous cars the same year, saying: “There are no fundamental challenges.” In 2019, he promised Teslas would be able to drive themselves by 2020 – converting into a fleet of 1m “robotaxis”. He has made similar predictions <a href=""https://futurism.com/video-elon-musk-promising-self-driving-cars"">every year</a> going back to 2014.</p><p>From late 2020, Tesla <a href=""https://www.theverge.com/2020/10/21/21527577/tesla-full-self-driving-autopilot-beta-software-update"">expanded beta trials of its “Full Self-Driving” software (FSD)</a> to about 60,000 Tesla owners, who must pass a safety test and pay $12,000 for the privilege. The customers will pilot the automated driver assistance technology, helping to refine it before a general release.</p> <a href=""https://www.theguardian.com/technology/2022/mar/27/how-self-driving-cars-got-stuck-in-the-slow-lane"">Continue reading...</a>",How self-driving cars got stuck in the slow lane,BUSINESS & MONEY,24330,36.5
"<p>He created the image file format that defined an internet culture for decades in 1987 while working at CompuServe</p><p>If a picture is worth a thousand words, then a gif is worth millions. The image file format has been a defining element of internet culture for decades, with <a href=""https://giphy.com/gifs/dicaprio-draw-serial-8Iv5lqKwKsZ2g"">glass-raising DiCaprios</a> and <a href=""https://giphy.com/gifs/mashable-obama-mic-drop-l0K42u9hCg0x6XbLa"">mic-dropping Obamas</a> facilitating self-expression in a faceless digital world. And we have one man to thank for all the jokes, snark and praise: Stephen Wilhite, inventor of the gif, who died last week, aged 74.</p><p>Wilhite, who lived in Milford, Ohio, contracted Covid two weeks before his death, his wife, Kathaleen Wilhite, <a href=""https://www.npr.org/2022/03/23/1088410133/gif-creator-dead-steve-wilhite-kathaleen-wife-interview"">told NPR</a>.</p> <a href=""https://www.theguardian.com/technology/2022/mar/24/stephen-wilhite-gif-inventor-dies"">Continue reading...</a>",‘He helped shape the modern world’: gif inventor Stephen Wilhite dies after getting Covid,ENTERTAINMENT & FUN,28110,86.5
"<p>Data brokers collect our personal data and sell it on – but a new case shows just how easily people’s security can be breached</p><p>There are a number of ways your personal data could end up in the hands of entities you’ve never directly given it to. One of them is through the data-broker industry: a complex network of companies that profits off the sale of data such as your location and your purchases, as well as biographical and demographic information.</p><p>Now, a new lawsuit is giving consumers an unprecedented peek into this opaque world, and illuminating just how easily a data broker can lose control of the user information it collects.</p> <a href=""https://www.theguardian.com/technology/2022/mar/23/data-brokers-lawsuit-security-transparency"">Continue reading...</a>",Where does your info go? US lawsuit gives peek into shadowy world of data brokers,BUSINESS & MONEY,30109,36.5
